generation,hypervolume,spacing,n_nd
1,49.40148015244143,0.15655773398363074,20
2,51.63392430982798,0.16144263166669442,20
3,54.53942988631022,0.16554562804905346,20
4,58.22415488362631,0.13938325434177823,20
5,58.591764070761485,0.16410949552316564,20
6,59.346304932613386,0.214511080407433,20
7,59.559629693758765,0.1786547377901812,20
8,59.625572587207444,0.31265032864087905,20
9,59.73667076099299,0.30225061805721576,20
10,59.96686565903104,0.0629576899581525,20
11,60.212671673358734,0.35635556253180545,20
12,60.36233237793215,0.3538788019376758,20
13,60.389480709911695,0.33679457101297167,20
14,60.603991869645405,0.3350903988096041,20
15,60.61882244845799,0.3526316984930921,20
16,60.762392588229964,0.3173435821709969,20
17,60.81991265433316,0.13812532698330343,20
18,60.82541366474946,0.1189041855328275,20
19,60.826961650620575,0.15340946736391986,20
20,60.838475482964974,0.11062079457597987,20
21,60.917263481121196,0.08731011100836597,20
22,60.95069936419384,0.16391393501514662,20
23,60.97269588071099,0.13616527006815168,20
24,61.104990474988796,0.07941893077942166,20
25,61.13544724529191,0.07299942959002292,20
26,61.13676650914324,0.09585915457605027,20
27,61.12458752982718,0.12223272991766577,20
